,Unnamed: 0,Title,Genre,Director,Year,Runtime,Rating,Votes,Revenue,Metascore
152,171,Kubo and the Two Strings,Animation,Travis Knight,2016,101,7.9,72778,48.02,84.0
153,173,Her,Drama,Spike Jonze,2013,126,8.0,390531,25.56,90.0
154,174,Frozen,Animation,Chris Buck,2013,102,7.5,451894,400.74,74.0
155,175,Tomorrowland,Action,Brad Bird,2015,130,6.5,143069,93.42,60.0
156,176,Dawn of the Planet of the Apes,Action,Matt Reeves,2014,130,7.6,337777,208.54,79.0
157,177,Tropic Thunder,Action,Ben Stiller,2008,107,7.0,321442,110.42,71.0
158,178,The Conjuring 2,Horror,James Wan,2016,134,7.4,137203,102.46,65.0
159,179,Ant-Man,Action,Peyton Reed,2015,117,7.3,368912,180.19,64.0
160,180,Bridget Jones's Baby,Comedy,Sharon Maguire,2016,118,6.7,43086,24.09,59.0
161,181,The VVitch: A New-England Folktale,Horror,Robert Eggers,2015,92,6.8,101781,25.14,83.0
162,182,Cinderella,Drama,Kenneth Branagh,2015,105,7.0,117018,201.15,67.0
163,184,Forushande,Drama,Asghar Farhadi,2016,124,8.0,22389,3.4,85.0
164,186,Billy Lynn's Long Halftime Walk,Drama,Ang Lee,2016,113,6.3,11944,1.72,53.0
165,187,Crimson Peak,Drama,Guillermo del Toro,2015,119,6.6,97454,31.06,66.0
166,188,Drive,Crime,Nicolas Winding Refn,2011,100,7.8,461509,35.05,78.0
167,189,Trainwreck,Comedy,Judd Apatow,2015,125,6.3,106364,110.01,75.0
168,190,The Light Between Oceans,Drama,Derek Cianfrance,2016,133,7.2,27382,12.53,60.0
169,192,Spotlight,Crime,Tom McCarthy,2015,128,8.1,268282,44.99,93.0
170,193,Morgan,Horror,Luke Scott,2016,92,5.8,22107,3.91,48.0
171,194,Warrior,Action,Gavin O'Connor,2011,140,8.2,355722,13.65,71.0
172,195,Captain America: The First Avenger,Action,Joe Johnston,2011,124,6.9,547368,176.64,66.0
173,197,Into the Wild,Adventure,Sean Penn,2007,148,8.1,459304,18.35,73.0
174,198,The Imitation Game,Biography,Morten Tyldum,2014,114,8.1,532353,91.12,73.0
175,199,Central Intelligence,Action,Rawson Marshall Thurber,2016,107,6.3,97082,127.38,52.0
176,200,Edge of Tomorrow,Action,Doug Liman,2014,113,7.9,471815,100.19,71.0
177,201,A Cure for Wellness,Drama,Gore Verbinski,2016,146,6.5,12193,8.1,47.0
178,202,Snowden,Biography,Oliver Stone,2016,134,7.3,79855,21.48,58.0
179,203,Iron Man,Action,Jon Favreau,2008,126,7.9,737719,318.3,79.0
180,204,Allegiant,Action,Robert Schwentke,2016,120,5.7,70504,66.0,33.0
181,205,X: First Class,Action,Matthew Vaughn,2011,132,7.8,550011,146.41,65.0
182,206,Raw (II),Drama,Julia Ducournau,2016,99,7.5,5435,0.51,81.0
183,207,Paterson,Comedy,Jim Jarmusch,2016,118,7.5,26089,2.14,90.0
184,208,Bridesmaids,Comedy,Paul Feig,2011,125,6.8,227912,169.08,75.0
185,210,San Andreas,Action,Brad Peyton,2015,114,6.1,161396,155.18,43.0
186,211,Spring Breakers,Drama,Harmony Korine,2012,94,5.3,114290,14.12,63.0
187,212,Transformers,Action,Michael Bay,2007,144,7.1,531112,318.76,61.0
188,214,Thor: The Dark World,Action,Alan Taylor,2013,112,7.0,443584,206.36,54.0
189,215,Gods of Egypt,Action,Alex Proyas,2016,126,5.5,73568,31.14,25.0
190,216,Captain America: The Winter Soldier,Action,Anthony Russo,2014,136,7.8,542362,259.75,70.0
191,217,Monster Trucks,Action,Chris Wedge,2016,104,5.7,7044,33.04,41.0
192,219,Kick-Ass,Action,Matthew Vaughn,2010,117,7.7,456749,48.04,66.0
193,220,Hardcore Henry,Action,Ilya Naishuller,2015,96,6.7,61098,9.24,51.0
194,221,Cars,Animation,John Lasseter,2006,117,7.1,283445,244.05,73.0
195,222,It Follows,Horror,David Robert Mitchell,2014,100,6.9,136399,14.67,83.0
196,223,The Girl with the Dragon Tattoo,Crime,David Fincher,2011,158,7.8,348551,102.52,71.0
197,224,We're the Millers,Comedy,Rawson Marshall Thurber,2013,110,7.0,334867,150.37,44.0
198,225,American Honey,Drama,Andrea Arnold,2016,163,7.0,19660,0.66,79.0
199,226,The Lobster,Comedy,Yorgos Lanthimos,2015,119,7.1,121313,8.7,82.0
200,227,Predators,Action,Nimród Antal,2010,107,6.4,179450,52.0,51.0
201,228,Maleficent,Action,Robert Stromberg,2014,97,7.0,268877,241.41,56.0
202,230,Pan's Labyrinth,Drama,Guillermo del Toro,2006,118,8.2,498879,37.62,98.0
203,231,A Kind of Murder,Crime,Andy Goddard,2016,95,5.2,3305,0.0,50.0
204,232,Apocalypto,Action,Mel Gibson,2006,139,7.8,247926,50.86,68.0
205,233,Mission: Impossible - Rogue Nation,Action,Christopher McQuarrie,2015,131,7.4,257472,195.0,75.0
206,234,The Huntsman: Winter's War,Action,Cedric Nicolas-Troyan,2016,114,6.1,66766,47.95,35.0
207,235,The Perks of Being a Wallflower,Drama,Stephen Chbosky,2012,102,8.0,377336,17.74,67.0
208,236,Jackie,Biography,Pablo Larraín,2016,100,6.8,41446,13.96,81.0
209,237,The Disappointments Room,Drama,D.J. Caruso,2016,85,3.9,4895,2.41,31.0
210,238,The Grand Budapest Hotel,Adventure,Wes Anderson,2014,99,8.1,530881,59.07,88.0
211,239,The Host,Action,Andrew Niccol,2013,125,5.9,96852,26.62,35.0
212,240,Fury,Action,David Ayer,2014,134,7.6,332234,85.71,64.0
213,241,Inside Out,Animation,Pete Docter,2015,95,8.2,416689,356.45,94.0
214,242,Rock Dog,Animation,Ash Brannon,2016,90,5.8,1109,9.4,48.0
215,243,Terminator Genisys,Action,Alan Taylor,2015,126,6.5,205365,89.73,38.0
216,244,Percy Jackson & the Olympians: The Lightning Thief,Adventure,Chris Columbus,2010,118,5.9,148949,88.76,47.0
217,245,Les Misérables,Drama,Tom Hooper,2012,158,7.6,257426,148.78,63.0
218,246,Children of Men,Drama,Alfonso Cuarón,2006,109,7.9,382910,35.29,84.0
219,247,20th Century Women,Comedy,Mike Mills,2016,119,7.4,14708,5.66,83.0
220,248,Spy,Action,Paul Feig,2015,119,7.1,188017,110.82,75.0
221,249,The Intouchables,Biography,Olivier Nakache,2011,112,8.6,557965,13.18,57.0
222,250,Bonjour Anne,Comedy,Eleanor Coppola,2016,92,4.9,178,0.32,50.0
223,251,Kynodontas,Drama,Yorgos Lanthimos,2009,94,7.3,50946,0.11,73.0
224,252,Straight Outta Compton,Biography,F. Gary Gray,2015,147,7.9,139831,161.03,72.0
225,253,The Amazing Spider-Man 2,Action,Marc Webb,2014,142,6.7,342183,202.85,53.0
226,254,The Conjuring,Horror,James Wan,2013,112,7.5,330305,137.39,68.0
227,255,The Hangover,Comedy,Todd Phillips,2009,100,7.8,611563,277.31,73.0
228,256,Battleship,Action,Peter Berg,2012,131,5.8,210349,65.17,41.0
229,257,Rise of the Planet of the Apes,Action,Rupert Wyatt,2011,105,7.6,422290,176.74,68.0
230,258,Lights Out,Horror,David F. Sandberg,2016,81,6.4,69823,67.24,58.0
231,259,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Drama,Joseph Cedar,2016,118,7.1,664,2.27,76.0
232,260,Birdman or (The Unexpected Virtue of Ignorance),Comedy,Alejandro González Iñárritu,2014,119,7.8,440299,42.34,88.0
233,261,Black Swan,Drama,Darren Aronofsky,2010,108,8.0,581518,106.95,79.0
234,262,Dear White People,Comedy,Justin Simien,2014,108,6.2,21715,4.4,79.0
235,263,Nymphomaniac: Vol. I,Drama,Lars von Trier,2013,117,7.0,90556,0.79,64.0
236,264,Teenage Mutant Ninja Turtles: Out of the Shadows,Action,Dave Green,2016,112,6.0,59312,0.54,40.0
237,265,Knock Knock,Drama,Eli Roth,2015,99,4.9,53441,0.03,53.0
238,266,Dirty Grandpa,Comedy,Dan Mazer,2016,102,6.0,75137,35.54,18.0
239,267,Cloud Atlas,Drama,Tom Tykwer,2012,172,7.5,298651,27.1,55.0
240,268,X-Men Origins: Wolverine,Action,Gavin Hood,2009,107,6.7,388447,179.88,40.0
241,270,Skyfall,Action,Sam Mendes,2012,143,7.8,547386,304.36,81.0
242,271,The Hobbit: An Unexpected Journey,Adventure,Peter Jackson,2012,169,7.9,668651,303.0,58.0
243,272,21 Jump Street,Action,Phil Lord,2012,110,7.2,432046,138.45,69.0
244,273,Sing Street,Comedy,John Carney,2016,106,8.0,52144,3.23,79.0
245,275,Oblivion,Action,Joseph Kosinski,2013,124,7.0,410125,89.02,54.0
246,276,22 Jump Street,Action,Phil Lord,2014,112,7.1,280110,191.62,71.0
247,277,Zodiac,Crime,David Fincher,2007,157,7.7,329683,33.05,78.0
248,278,Everybody Wants Some!!,Comedy,Richard Linklater,2016,117,7.0,36312,3.37,83.0
249,279,Iron Man Three,Action,Shane Black,2013,130,7.2,591023,408.99,62.0
250,280,Now You See Me,Crime,Louis Leterrier,2013,115,7.3,492324,117.7,50.0
251,281,Sherlock Holmes,Action,Guy Ritchie,2009,128,7.6,501769,209.02,57.0
252,283,The Danish Girl,Biography,Tom Hooper,2015,119,7.0,110773,12.71,66.0
253,284,Hercules,Action,Brett Ratner,2014,98,6.0,122838,72.66,47.0
254,285,Sucker Punch,Action,Zack Snyder,2011,110,6.1,204874,36.38,33.0
255,286,Keeping Up with the Joneses,Action,Greg Mottola,2016,105,5.8,30405,14.9,34.0
256,287,Jupiter Ascending,Action,Lana Wachowski,2015,127,5.3,150121,47.38,40.0
257,288,Masterminds,Action,Jared Hess,2016,95,5.8,26508,17.36,47.0
258,290,Busanhaeng,Action,Sang-ho Yeon,2016,118,7.5,58782,2.13,72.0
259,291,Pitch Perfect,Comedy,Jason Moore,2012,112,7.2,226631,65.0,66.0
260,292,Neighbors 2: Sorority Rising,Comedy,Nicholas Stoller,2016,92,5.7,76327,55.29,58.0
261,294,Man of Steel,Action,Zack Snyder,2013,143,7.1,577010,291.02,55.0
262,295,The Choice,Drama,Ross Katz,2016,111,6.6,20514,18.71,26.0
263,296,Ice Age: Collision Course,Animation,Mike Thurmeier,2016,94,5.7,34523,64.06,34.0
264,297,The Devil Wears Prada,Comedy,David Frankel,2006,109,6.8,302268,124.73,62.0
265,298,The Infiltrator,Biography,Brad Furman,2016,127,7.1,43929,15.43,66.0
266,299,There Will Be Blood,Drama,Paul Thomas Anderson,2007,158,8.1,400682,40.22,92.0
267,300,The Equalizer,Action,Antoine Fuqua,2014,132,7.2,249425,101.53,57.0
268,301,Lone Survivor,Action,Peter Berg,2013,121,7.5,218996,125.07,60.0
269,302,The Cabin in the Woods,Horror,Drew Goddard,2012,95,7.0,295554,42.04,72.0
270,303,The House Bunny,Comedy,Fred Wolf,2008,97,5.5,67033,48.24,55.0
271,304,She's Out of My League,Comedy,Jim Field Smith,2010,104,6.4,105619,31.58,46.0
272,305,Inherent Vice,Comedy,Paul Thomas Anderson,2014,148,6.7,69509,8.09,81.0
273,306,Alice Through the Looking Glass,Adventure,James Bobin,2016,113,6.2,57207,77.04,34.0
274,308,The Fast and the Furious: Tokyo Drift,Action,Justin Lin,2006,104,6.0,193479,62.49,45.0
275,309,How to Be Single,Comedy,Christian Ditter,2016,110,6.1,59886,46.81,51.0
276,310,The Blind Side,Biography,John Lee Hancock,2009,129,7.7,237221,255.95,53.0
277,311,La vie d'Adèle,Drama,Abdellatif Kechiche,2013,180,7.8,103150,2.2,88.0
278,312,The Babadook,Drama,Jennifer Kent,2014,93,6.8,132580,0.92,86.0
279,313,The Hobbit: The Battle of the Five Armies,Adventure,Peter Jackson,2014,144,7.4,385598,255.11,59.0
280,314,Harry Potter and the Order of the Phoenix,Adventure,David Yates,2007,138,7.5,385325,292.0,71.0
281,315,Snowpiercer,Action,Bong Joon Ho,2013,126,7.0,199048,4.56,84.0
282,316,The 5th Wave,Action,J Blakeson,2016,112,5.2,73093,34.91,33.0
283,318,The Visit,Comedy,M. Night Shyamalan,2015,94,6.2,81429,65.07,55.0
284,319,Fast Five,Action,Justin Lin,2011,131,7.3,300803,209.81,66.0
285,320,Step Up,Crime,Anne Fletcher,2006,104,6.5,95960,65.27,48.0
286,321,Lovesong,Drama,So Yong Kim,2016,84,6.4,616,0.01,74.0
287,322,RocknRolla,Action,Guy Ritchie,2008,114,7.3,203096,5.69,53.0
288,323,In Time,Action,Andrew Niccol,2011,109,6.7,319025,37.55,53.0
289,324,The Social Network,Biography,David Fincher,2010,120,7.7,510100,96.92,95.0
290,325,The Last Witch Hunter,Action,Breck Eisner,2015,106,6.0,71149,27.36,34.0
291,326,Victor Frankenstein,Drama,Paul McGuigan,2015,110,6.0,37975,5.77,36.0
292,327,A Street Cat Named Bob,Biography,Roger Spottiswoode,2016,103,7.4,12643,0.04,54.0
293,328,Green Room,Crime,Jeremy Saulnier,2015,95,7.0,62885,3.22,79.0
294,329,Blackhat,Crime,Michael Mann,2015,133,5.4,43085,7.1,51.0
295,330,Storks,Animation,Nicholas Stoller,2016,87,6.9,34248,72.66,56.0
296,331,American Sniper,Action,Clint Eastwood,2014,133,7.3,353305,350.12,72.0
297,332,Dallas Buyers Club,Biography,Jean-Marc Vallée,2013,117,8.0,352801,27.3,84.0
298,333,Lincoln,Biography,Steven Spielberg,2012,150,7.4,207497,182.2,86.0
299,334,Rush,Action,Ron Howard,2013,123,8.1,339722,26.9,75.0
300,336,Silver Linings Playbook,Comedy,David O. Russell,2012,122,7.8,564364,132.09,81.0
301,338,The Fault in Our Stars,Drama,Josh Boone,2014,126,7.8,271301,124.87,69.0
302,339,Blended,Comedy,Frank Coraci,2014,117,6.5,93764,46.28,31.0
303,340,Fast & Furious,Action,Justin Lin,2009,107,6.6,217464,155.02,46.0
304,341,Looper,Action,Rian Johnson,2012,119,7.4,452369,66.47,84.0
305,342,White House Down,Action,Roland Emmerich,2013,131,6.4,173320,73.1,52.0
306,343,Pete's Dragon,Adventure,David Lowery,2016,102,6.8,36322,76.2,71.0
307,344,Spider-Man 3,Action,Sam Raimi,2007,139,6.2,406219,336.53,59.0
308,345,The Three Musketeers,Action,Paul W.S. Anderson,2011,110,5.8,92329,20.32,35.0
